Surface,Molecule Group,Molecule,Initial Site,DFT Energy (System),DFT Energy (Slab),DFT Energy (Gas),Adsorption Energy
RuO2,imines,Methanimine,Oxygen,-926.65486591,-899.06307944,-27.40609055,-0.18569591999999
RuO2,imines,Methanimine,Oxygen Bridge,-928.44033239,-899.06307944,-27.40609055,-1.97116239999996
RuO2,imines,Methanimine,Metal Bridge,-928.46625735,-899.06307944,-27.40609055,-1.99708735999996
RuO2,imines,Ethanimine,Metal,-945.25664174,-899.06307944,-44.29120175,-1.90236054999994
RuO2,imines,Ethanimine,Metal,-945.27109072,-899.06307944,-44.29120175,-1.91680952999994
RuO2,imines,Ethanimine,Hole,-945.2864212,-899.06307944,-44.29120175,-1.93214000999993
RuO2,imines,Ethanimine,Hole,-945.27288513,-899.06307944,-44.29120175,-1.91860393999994
RuO2,imines,Ethanimine,Hole,-945.2637874,-899.06307944,-44.29120175,-1.90950620999993
RuO2,imines,Ethanimine,Oxygen,-943.67177687,-899.06307944,-44.29120175,-0.317495680000007
RuO2,imines,Ethanimine,Metal Bridge,-944.03609414,-899.06307944,-44.29120175,-0.681812950000023
RuO2,imines,Propan-2-imine,Metal,-962.13145767,-899.06307944,-61.08655808,-1.98182015
RuO2,imines,Propan-2-imine,Metal,-962.19688703,-899.06307944,-61.08655808,-2.04724950999994
RuO2,imines,Propan-2-imine,Hole,-962.071669,-899.06307944,-61.08655808,-1.92203148000002
RuO2,imines,Propan-2-imine,Oxygen,-960.58406039,-899.06307944,-61.08655808,-0.434422869999963
RuO2,imines,Propan-2-imine,Oxygen Bridge,-962.16772498,-899.06307944,-61.08655808,-2.01808745999998
RuO2,imines,Propan-2-imine,Metal Bridge,-962.18157873,-899.06307944,-61.08655808,-2.03194120999993
RuO2,imines,N-methylmethanimine,Metal,-944.85292755,-899.06307944,-43.87890318,-1.91094492999998
RuO2,imines,N-methylmethanimine,Metal,-944.86412824,-899.06307944,-43.87890318,-1.92214561999999
RuO2,imines,N-methylmethanimine,Metal,-944.76543047,-899.06307944,-43.87890318,-1.82344784999993
RuO2,imines,N-methylmethanimine,Oxygen,-943.19437594,-899.06307944,-43.87890318,-0.25239331999996
